ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths
8/28/2020,Veracruz,Mexico,4/2/2021 15:13,27804,3623
8/28/2020,Vermont,US,4/2/2021 15:13,1589,58
8/28/2020,Vichada,Colombia,4/2/2021 15:13,21,1
8/28/2020,Victoria,Australia,4/2/2021 15:13,18903,513
8/28/2020,Vinnytsia Oblast,Ukraine,4/2/2021 15:13,3800,80
8/28/2020,Virgin Islands,US,4/2/2021 15:13,1075,14
8/28/2020,Virginia,US,4/2/2021 15:13,117592,2550
8/28/2020,Vladimir Oblast,Russia,4/2/2021 15:13,6237,193
8/28/2020,Volgograd Oblast,Russia,4/2/2021 15:13,11836,90
8/28/2020,Vologda Oblast,Russia,4/2/2021 15:13,3278,34
8/28/2020,Volyn Oblast,Ukraine,4/2/2021 15:13,5320,116
8/28/2020,Voronezh Oblast,Russia,4/2/2021 15:13,13849,107
8/28/2020,Wakayama,Japan,4/2/2021 15:13,228,5
8/28/2020,Wales,UK,4/2/2021 15:13,17877,1595
8/28/2020,Washington,US,4/2/2021 15:13,74420,1894
8/28/2020,West Bengal,India,4/2/2021 15:13,153754,3073
8/28/2020,West Virginia,US,4/2/2021 15:13,9826,201
8/28/2020,Western Australia,Australia,4/2/2021 15:13,655,9
8/28/2020,Wisconsin,US,4/2/2021 15:13,73981,1113
8/28/2020,Wyoming,US,4/2/2021 15:13,3803,37
8/28/2020,Xinjiang,Mainland China,4/2/2021 15:13,902,3
8/28/2020,Yamagata,Japan,4/2/2021 15:13,77,1
8/28/2020,Yamaguchi,Japan,4/2/2021 15:13,151,0
8/28/2020,Yamalo-Nenets Autonomous Okrug,Russia,4/2/2021 15:13,13269,90
8/28/2020,Yamanashi,Japan,4/2/2021 15:13,175,3
8/28/2020,Yaroslavl Oblast,Russia,4/2/2021 15:13,7117,35
8/28/2020,Yucatan,Mexico,4/2/2021 15:13,14324,1294
8/28/2020,Yukon,Canada,4/2/2021 15:13,15,0
8/28/2020,Yunnan,Mainland China,4/2/2021 15:13,199,2
8/28/2020,Zabaykalsky Krai,Russia,4/2/2021 15:13,4517,56
8/28/2020,Zacatecas,Mexico,4/2/2021 15:13,5103,466
8/28/2020,Zakarpattia Oblast,Ukraine,4/2/2021 15:13,7302,254
8/28/2020,Zaporizhia Oblast,Ukraine,4/2/2021 15:13,1487,25
8/28/2020,Zeeland,Netherlands,4/2/2021 15:13,1036,72
8/28/2020,Zhejiang,Mainland China,4/2/2021 15:13,1277,1
8/28/2020,Zhytomyr Oblast,Ukraine,4/2/2021 15:13,3063,61
8/28/2020,Zuid-Holland,Netherlands,4/2/2021 15:13,18636,1343
